pd,SingleAdult,OneAdultOneChild,Twoadults,TwoAdultsChildren,ThreeOrMoreAdults,ThreeOrMoreAdultsChildren
1,46,1,36,6,8,3
2,30,1,32,12,20,5
3,27,2,31,9,24,7
4,34,1,35,9,16,5
5,26,1,35,8,23,7
6,28,1,34,13,19,6
7,33,1,36,9,16,4
8,25,1,38,9,22,6
9,16,1,26,10,35,12
10,21,2,30,9,28,10
11,27,1,36,8,25,4
12,18,1,37,9,28,7
13,23,1,31,10,27,9
14,28,1,36,8,22,5
15,18,1,35,7,31,8
16,16,0,32,7,35,10
17,23,1,41,11,18,5
18,19,0,40,10,26,5
19,17,0,48,6,26,4
20,17,1,35,8,31,8
21,13,1,28,16,29,12
22,17,1,35,15,25,9
23,24,1,40,10,19,5
24,15,1,44,13,20,7
25,20,1,37,11,24,7
26,13,1,45,8,26,6
27,19,1,32,13,26,9
28,14,0,35,14,28,8
29,12,1,28,15,34,10
30,16,1,39,15,21,8
31,11,1,28,11,37,11
32,12,0,40,11,30,8
33,10,1,28,17,33,11
34,13,1,38,12,28,8
35,11,1,25,15,32,16
36,15,1,30,12,31,11
37,18,2,35,16,22,8
38,12,1,34,21,21,11
39,18,1,37,12,24,8
40,23,1,41,14,17,5
41,14,0,44,8,27,7
42,26,1,40,14,15,4
43,17,0,41,12,24,5
44,12,1,37,28,17,7
45,17,1,38,13,25,7
46,30,1,35,9,18,6
