HomePD,z_house,z_apart,z_town,z_zeroCar,z_oneCar,z_twoCars,z_threePlusCars,z_oneAdult,z_oneAdultChildren,z_twoAdults,z_twoAdultsChildren,z_twoPlusAdults,z_twoPlusAdultsChildren,z_zeroKid,z_oneKid,z_twoKids,z_threeKids,z_fourPlusKids,z_pOne,z_pTwo,z_pThree,z_pFour,z_pFivePlus
1,0.133322347,0.796308504,0.07036915,0.449901121,0.455833883,0.081575478,0.012689519,0.46242584,0.008404746,0.363216875,0.056855636,0.083717864,0.025379038,0.90936058,0.056361239,0.028510218,0.00461437,0.001153593,0.46242584,0.368984838,0.090804219,0.051087673,0.026697429
2,0.618806876,0.345045501,0.036147624,0.337462083,0.480030334,0.153690597,0.028816987,0.298281092,0.009858443,0.318250758,0.120070779,0.201213347,0.052325581,0.817745197,0.097067745,0.072042467,0.011627907,0.001516684,0.298281092,0.325075834,0.168604651,0.145348837,0.062689585
3,0.58179046,0.381834023,0.036375517,0.291439773,0.4750599,0.192332825,0.041167502,0.265737312,0.01546504,0.314310608,0.091047702,0.241123938,0.0723154,0.821171858,0.102156393,0.062949249,0.011762143,0.001960357,0.265737312,0.321934219,0.177739055,0.155086038,0.079503376
4,0.445680875,0.526216522,0.028102603,0.220482837,0.475480951,0.263296869,0.040739344,0.343643908,0.00584685,0.352885704,0.089966051,0.160128253,0.047529234,0.856657865,0.066390041,0.056393814,0.016408902,0.004149378,0.343643908,0.357035081,0.13013957,0.110901547,0.058279894
5,0.360303413,0.562157606,0.07753898,0.152549515,0.518331226,0.277286136,0.051833123,0.263379688,0.00674252,0.353139486,0.083438685,0.226295828,0.067003793,0.842815002,0.088916983,0.059418458,0.00674252,0.002107038,0.263379688,0.356932153,0.16519174,0.13822166,0.076274758
6,0.678920428,0.275011633,0.046067939,0.262912983,0.518147976,0.189623081,0.029315961,0.277338297,0.010469986,0.337366217,0.128664495,0.187994416,0.058166589,0.80269893,0.104932527,0.078641228,0.012098651,0.001628664,0.277338297,0.344113541,0.165193113,0.151698464,0.061656584
7,0.491537377,0.453455571,0.055007052,0.153737659,0.532440056,0.270803949,0.043018336,0.330747532,0.010578279,0.363187588,0.088152327,0.163610719,0.043723554,0.857545839,0.082510578,0.050070522,0.007757405,0.002115656,0.330747532,0.370239774,0.138222849,0.117771509,0.043018336
8,0.546163522,0.413081761,0.040754717,0.137861635,0.481006289,0.32427673,0.056855346,0.249811321,0.00754717,0.376100629,0.089811321,0.218867925,0.057861635,0.844779874,0.086037736,0.056100629,0.011320755,0.001761006,0.249811321,0.381886792,0.167295597,0.142641509,0.05836478
9,0.590489709,0.332150461,0.07735983,0.134137686,0.514549326,0.290276792,0.061036196,0.155429383,0.010645848,0.262597587,0.099361249,0.347764372,0.124201561,0.765791341,0.124911285,0.090844571,0.015613911,0.002838893,0.155429383,0.268275373,0.198012775,0.232789212,0.145493258
10,0.511137163,0.406408753,0.082454084,0.236029699,0.498632278,0.207112153,0.058225869,0.205158265,0.017194216,0.302852677,0.090660414,0.279796796,0.104337632,0.787807737,0.108636186,0.070339977,0.026182102,0.007033998,0.205158265,0.309495897,0.173505275,0.173114498,0.138726065
11,0.427715356,0.523595506,0.048689139,0.178526841,0.524594257,0.252434457,0.044444444,0.268414482,0.005243446,0.359051186,0.075905119,0.249188514,0.042197253,0.876654182,0.069912609,0.045942572,0.006741573,0.000749064,0.268414482,0.362047441,0.187515605,0.129338327,0.052684145
12,0.478783593,0.391796322,0.129420085,0.129420085,0.525459689,0.311881188,0.033239038,0.183168317,0.007072136,0.371994342,0.08698727,0.282885431,0.067892504,0.838048091,0.103253182,0.045968883,0.011315417,0.001414427,0.183168317,0.376237624,0.222772277,0.147807638,0.070014144
13,0.527427247,0.422868916,0.049703837,0.213752253,0.537986093,0.215554983,0.03270667,0.226628895,0.010816379,0.310069534,0.095029616,0.269894412,0.087561164,0.806592841,0.096059748,0.078032449,0.016739634,0.002575328,0.226628895,0.313932526,0.18078805,0.175122328,0.1035282
14,0.635741445,0.333840304,0.030418251,0.180228137,0.469201521,0.282129278,0.068441065,0.276045627,0.010646388,0.363498099,0.079847909,0.215209125,0.054752852,0.854752852,0.085171103,0.049429658,0.009885932,0.000760456,0.276045627,0.369581749,0.16730038,0.120152091,0.066920152
15,0.702242846,0.210363496,0.087393658,0.116782676,0.41453983,0.368909513,0.099767981,0.176334107,0.013147718,0.345707657,0.066511988,0.314771848,0.083526682,0.836813612,0.091260634,0.059551431,0.009280742,0.003093581,0.176334107,0.353441609,0.172467131,0.183294664,0.11446249
16,0.585872576,0.310526316,0.103601108,0.139889197,0.477562327,0.313850416,0.068698061,0.159279778,0.004155125,0.321052632,0.069806094,0.349584488,0.096121884,0.829916898,0.094182825,0.058725762,0.013850416,0.0033241,0.159279778,0.322437673,0.206371191,0.181717452,0.130193906
17,0.891719745,0.079617834,0.02866242,0.038216561,0.359872611,0.414012739,0.187898089,0.229299363,0.012738854,0.410828025,0.111464968,0.181528662,0.054140127,0.821656051,0.079617834,0.076433121,0.012738854,0.00955414,0.229299363,0.420382166,0.165605096,0.121019108,0.063694268
18,0.902255639,0.077694236,0.020050125,0.045112782,0.263157895,0.456140351,0.235588972,0.187969925,0.002506266,0.403508772,0.100250627,0.258145363,0.047619048,0.84962406,0.065162907,0.065162907,0.020050125,0,0.187969925,0.406015038,0.187969925,0.137844612,0.080200501
