pd,FT,homeFT,homePT,eNE,PT,officeCler,manConst,profMan,retail,oNE,zero,eleven,fourteen,sixteen,eighteen,twentysix,thirtyone,fortyone,fiftyone,fiftyfive,sixtyfivePlus,male,female,lYes,lNo
1,0.382387335,0.0541513,0.024467032,0.465143474,0.073850859,0.087883422,0.02050913,0.258343078,0.168120896,0.465143474,0.072501574,0.018889988,0.013762706,0.011154088,0.05028335,0.05532068,0.144193577,0.177026176,0.062606818,0.171449132,0.22281191,0.506521544,0.493478456,0.64486822,0.35513178
2,0.350491491,0.044498467,0.015643167,0.509776979,0.079589895,0.070077159,0.047563682,0.210971356,0.161610823,0.509776979,0.118275024,0.027904027,0.019025473,0.020188141,0.058027693,0.036571187,0.13899165,0.174188775,0.064052426,0.147870204,0.194905401,0.489800233,0.510199767,0.571821161,0.428178839
3,0.333535581,0.026176649,0.008754442,0.549449597,0.082083731,0.067348531,0.078963335,0.123082257,0.18115628,0.549449597,0.10860709,0.03276415,0.02539655,0.02244951,0.077143105,0.04307879,0.116841467,0.154026177,0.057640634,0.143451504,0.218601023,0.471439716,0.528560284,0.56037098,0.43962902
4,0.324377346,0.051518253,0.022091436,0.529256227,0.072756738,0.075571477,0.019873763,0.253923576,0.121374957,0.529256227,0.111310133,0.032070966,0.02465029,0.024394405,0.051603548,0.027550324,0.093995223,0.148242921,0.065250768,0.163766633,0.25716479,0.470232003,0.529767997,0.671784374,0.328215626
5,0.313348222,0.03075073,0.013743343,0.566053943,0.076103762,0.079196014,0.031609689,0.170932829,0.152207524,0.566053943,0.097234152,0.037622402,0.029204604,0.026971311,0.074729428,0.028345645,0.096375193,0.160968906,0.062360419,0.14413331,0.24205463,0.468304415,0.531695585,0.655385673,0.344614327
6,0.347473186,0.046574548,0.017006474,0.515218862,0.07372693,0.078365059,0.037878056,0.208425935,0.160112088,0.515218862,0.127162045,0.031404,0.024156923,0.021547976,0.057010339,0.02850517,0.12233066,0.18600831,0.070055078,0.150545946,0.181273553,0.495120301,0.504879699,0.596386124,0.403613876
7,0.379706445,0.034460753,0.012763242,0.504467135,0.068602425,0.077217613,0.057434588,0.181557116,0.179323548,0.504467135,0.097957881,0.026164646,0.020102106,0.01818762,0.059668156,0.029993618,0.109125718,0.177089981,0.073707722,0.172941927,0.215060625,0.477026165,0.522973835,0.666560306,0.333439694
8,0.326886891,0.029793017,0.013903408,0.560108718,0.069307966,0.076207401,0.04892327,0.169663391,0.145097219,0.560108718,0.099832741,0.030838386,0.024566172,0.022579971,0.064603805,0.033974493,0.08770646,0.153251098,0.061258624,0.154610077,0.266778173,0.473761238,0.526238762,0.674576626,0.325423374
9,0.315531716,0.013759328,0.005830224,0.583255597,0.081623134,0.058768657,0.090485075,0.087453358,0.180037313,0.583255597,0.120802239,0.04011194,0.030550373,0.032649254,0.098647388,0.050606343,0.108675373,0.149720149,0.059001866,0.126865672,0.182369403,0.482975746,0.517024254,0.583955224,0.416044776
10,0.295124983,0.013810247,0.004971689,0.60668416,0.079408921,0.054136169,0.09722414,0.074989642,0.166965889,0.60668416,0.127054274,0.039773512,0.028449109,0.027482392,0.089352299,0.044468996,0.114072642,0.148874465,0.053031349,0.120011048,0.207429913,0.482253832,0.517746168,0.537771026,0.462228974
11,0.311674591,0.038351823,0.015319599,0.55562599,0.079027998,0.08526149,0.035710512,0.182567353,0.140834654,0.55562599,0.078288431,0.024933967,0.019017433,0.02239831,0.081035394,0.045324881,0.10153196,0.144532488,0.062440571,0.153935552,0.266561014,0.465293185,0.534706815,0.683042789,0.316957211
12,0.312039312,0.024843025,0.010647011,0.581763582,0.070707071,0.078624079,0.037674038,0.171171171,0.130767131,0.581763582,0.090909091,0.028665029,0.01992902,0.023478023,0.075621076,0.041769042,0.094731095,0.144144144,0.060879061,0.155883156,0.263991264,0.473109473,0.526890527,0.661206661,0.338793339
13,0.301886792,0.016076242,0.006738544,0.594724682,0.080573739,0.070369657,0.06728918,0.095879861,0.171736619,0.594724682,0.117346939,0.036869465,0.025510204,0.025702734,0.080284944,0.04322295,0.10935695,0.154312668,0.055641124,0.131497882,0.220254139,0.478436658,0.521563342,0.559299191,0.440700809
14,0.309531502,0.031663974,0.011631664,0.566720517,0.080452342,0.078836834,0.041033926,0.154442649,0.158966074,0.566720517,0.092084006,0.031017771,0.021647819,0.024555735,0.074313409,0.031987076,0.075928918,0.159289176,0.067528271,0.167043619,0.2546042,0.470113086,0.529886914,0.650403877,0.349596123
15,0.338051624,0.027477102,0.006938662,0.543991119,0.083541493,0.085206772,0.056619484,0.149320011,0.164862614,0.543991119,0.090480155,0.038578962,0.027199556,0.029975021,0.097418818,0.045517624,0.081321121,0.157646406,0.061615321,0.165417707,0.204829309,0.490702193,0.509297807,0.664168748,0.335831252
16,0.315738871,0.01567157,0.006633978,0.581290261,0.080665321,0.079511585,0.064128449,0.113642919,0.161426786,0.581290261,0.093548697,0.029708682,0.022497837,0.027978079,0.095952312,0.045572541,0.090952793,0.148735698,0.054417844,0.15796558,0.232669936,0.479761561,0.520238439,0.633208345,0.366791655
