"AGEGROUP","AGELT1","<1"
"AGEGROUP","AGE5-9","5-9"
"AGEGROUP","AGE10-14","10-14"
"AGEGROUP","AGE15-19","15-19"
"AGEGROUP","AGE20-24","20-24"
"AGEGROUP","AGE25-29","25-29"
"AGEGROUP","AGE30-34","30-34"
"AGEGROUP","AGE35-39","35-39"
"AGEGROUP","AGE40-44","40-44"
"AGEGROUP","AGE45-49","45-49"
"AGEGROUP","AGE50-54","50-54"
"AGEGROUP","AGE55-59","55-59"
"AGEGROUP","AGE60-64","60-64"
"AGEGROUP","AGE65-69","65-69"
"AGEGROUP","AGE70-74","70-74"
"AGEGROUP","AGE75-79","75-79"
"AGEGROUP","AGE80-84","80-84"
"AGEGROUP","AGE85-89","85-89"
"AGEGROUP","AGE90-94","90-94"
"AGEGROUP","AGE95-99","95-99"
"AGEGROUP","AGE100+","100+"
"AGEGROUP","AGE0-4","0-4"
"AGEGROUP","AGE15-29","15-29"
"AGEGROUP","AGE30-44","30-44"
"AGEGROUP","AGE45-59","45-59"
"AGEGROUP","AGE60-69","60-69"
"AGEGROUP","AGE70-79","70-79"
"AGEGROUP","AGE80+","80+"
"AGEGROUP","AGEAll","All ages (total)"
"AGEGROUP","AGE0year","0 year"
"AGEGROUP","AGE1-4","1-4"
"AGEGROUP","AGE5-14","5-14"
"AGEGROUP","AGE15-24","15-24"
"AGEGROUP","AGE25-34","25-34"
"AGEGROUP","AGE35-44","35-44"
"AGEGROUP","AGE45-54","45-54"
"AGEGROUP","AGE55-64","55-64"
"AGEGROUP","AGE65-74","65-74"
"AGEGROUP","AGE75+","75+"
"AGEGROUP","AGEUnspecified","Unspecified"
"AGEGROUP","AGE30-59","30-59"
"AGEGROUP","AGE0-14","0-14"
"AGEGROUP","AGE15-59","15-59"
"AGEGROUP","AGE60+","60+"
"AGEGROUP","AGE15-PLUS","15+"
"AGEGROUP","AGE20-PLUS","20+"
"AGEGROUP","AGE25-PLUS","25+"
"AGEGROUP","AGE15-18","15-18"
"AGEGROUP","AGE15-20","15-20"
"AGEGROUP","AGE15-39","15-39"
"AGEGROUP","AGE15-44","15-44"
"AGEGROUP","AGE15-46","15-46"
"AGEGROUP","AGE15-49","15-49"
"AGEGROUP","AGE15-50","15-50"
"AGEGROUP","AGE15-54","15-54"
"AGEGROUP","AGE15-60","15-60"
"AGEGROUP","AGE15-64","15-64"
