"Statut";"Titre du poste";"Employeur";"Date limite";"Date début";"Durée";"Type de mandat";"Code Mandat";"Mon intérêt";"Admissible";
"Postulé";"Développeur de moteur de rendu 3D et d’interface graphique  (Ref: SCAN-1GL-E15)";"Dental Wings";"08-02-2015";"Mai       2015";"4 mois";"Stage";"23325";"";""
"Lu";"Analyste-programmeur, SIG - Intégration de Google Maps";"GIRO";"08-02-2015";"Mai       2015";"4 mois";"Stage";"23278";"";""
"Lu";"Analyste-programmeur, dév. d'outils génériques d'archivage";"GIRO";"08-02-2015";"Mai       2015";"4 mois";"Stage";"23276";"";""
"Lu";"Analyste-programmeur, dév. de générateurs de code en C#";"GIRO";"08-02-2015";"Mai       2015";"4 mois";"Stage";"23280";"";""
"Lu";"Développeur en interface graphique (JAVA / JAVA FX) (Ref: SCAN-1FX-E15)";"Dental Wings";"08-02-2015";"Mai       2015";"4 mois";"Stage";"23321";"";""
"Lu";"Stage en programmation Java (Ref: CAD-E15-1)";"Dental Wings";"08-02-2015";"Mai       2015";"4 mois";"Stage";"23320";"";""
"Lu";"Stages en cyberjustice";"Laboratoire de cyberjustice";"08-02-2015";"Mai       2015";"4 mois";"Stage";"23749";"";""
"Lu";"Employé(e) technique en régime coopératif (Ref: 1288)";"Lockheed Martin";"09-02-2015";"Mai       2015";"4 mois";"Stage";"23778";"";""
"Lu";"Stage en génie informatique ou génie logiciel (Ref: 15382)";"Hydro-Québec";"09-02-2015";"Mai       2015";"4 mois";"Stage";"23785";"";""
"Lu";"Stage en développement web";"Ipso-Facto impression numérique";"10-02-2015";"Mai       2015";"4 mois";"Stage";"23848";"";""
"Lu";"Morgan Stanley 2015 Programme d'été en Technologie";"Morgan Stanley";"11-02-2015";"Mai       2015";"4 mois";"Stage";"23277";"";""
"Non lu";"Integrateur de systemes";"Bell Canada";"12-02-2015";"Mai       2015";"8 mois";"Stage";"23921";"";""
"Non lu";"Visualisation de produits numériques";"Environnement Canada, Recherche en Prévision Numérique";"12-02-2015";"Mai       2015";"4 mois";"Stage";"23962";"";""
"Non lu";"développements de produits à valeur ajoutée";"Environnement Canada, Recherche en Prévision Numérique";"12-02-2015";"Mai       2015";"4 mois";"Stage";"23963";"";""
"Lu";"Concepteur de logiciels";"Adacel";"13-02-2015";"Mai       2015";"4 mois";"Stage";"23710";"";""
"Lu";"Concepteurs de logiciels - Montréal";"Adacel";"13-02-2015";"Mai       2015";"4 mois";"Stage";"23711";"";""
"Lu";"Développement de logiciel EIT";"Gebo Cermex Canada inc.";"13-02-2015";"Mai       2015";"4 mois";"Stage";"23874";"";""
"Non lu";"Stagiaire en développement logiciel; Navigation chirurgicale";"Zimmer CAS";"13-02-2015";"Mai       2015";"4 mois";"Stage";"23910";"";""
"Lu";"Développeur Java : serveur de fichiers";"BroadSoft, inc.";"14-02-2015";"Mai       2015";"4 mois";"Stage";"23663";"";""
"Non lu";"Programmeur .NET";"BrainBank Inc";"14-02-2015";"Mai       2015";"8 mois";"Stage";"23953";"";""
"Lu";"Stagiaire en informatique (Ref: A&I-2015-1)";"Ville de Montréal, Service de l'eau, Direction de l'épuration des eaux usées";"16-02-2015";"Mai       2015";"4 mois";"Stage";"23786";"";""
"Non lu";"Stagiaire, Sécurité de l’information (Ref: 05967)";"Investissements PSP";"17-02-2015";"Mai       2015";"4 mois";"Stage";"23912";"";""
"Non lu";"Stagiaire (Programmeur(e)), Livraison de services TI  (Ref: 91264)";"Investissements PSP";"20-02-2015";"Mai       2015";"4 mois";"Stage";"23960";"";""
"Lu";"Analyste en test (Ref: Analyste test)";"Genetec";"27-02-2015";"Mai       2015";"4 mois";"Stage";"23462";"";""
"Lu";"Analyste en test AutoVu (Ref: Analyste test AutoVu)";"Genetec";"27-02-2015";"Mai       2015";"4 mois";"Stage";"23464";"";""
"Lu";"Développeur logiciel C# Cloud Computing (Ref: Dev logiciel C#Cloud)";"Genetec";"27-02-2015";"Mai       2015";"4 mois";"Stage";"23487";"";""
"Lu";"Développeur logiciel F# (Ref: Develop. logiciel F#)";"Genetec";"27-02-2015";"Mai       2015";"4 mois";"Stage";"23468";"";""
"Lu";"Développeur logiciel d'outils et de configuration (Ref: Develop. logiciel OC)";"Genetec";"27-02-2015";"Mai       2015";"4 mois";"Stage";"23461";"";""
"Lu";"Développeur logiciel en imagerie et vision (Ref: Dev log image vision)";"Genetec";"27-02-2015";"Mai       2015";"4 mois";"Stage";"23469";"";""
"Non lu";"Stagiaire Drivers";"OPAL-RT Technologies";"27-02-2015";"Mai       2015";"4 mois";"Stage";"23792";"";""
"Non lu";"Test et automatisation de production électronique(stagiaire) (Ref: Test & auto de prod.)";"Genetec";"27-02-2015";"Mai       2015";"4 mois";"Stage";"23463";"";""
"Non lu";"Stage en informatique (Ref: 15345)";"Morneau Shepell";"02-03-2015";"Mai       2015";"4 mois";"Stage";"23604";"";""
"Non lu";"Stage en informatique-Dév. de maintenance outils SAD";"Morneau Shepell";"02-03-2015";"Mai       2015";"4 mois";"Stage";"23603";"";""
"Non lu";"Stagiaire en informatique - Assurance qualité";"Morneau Shepell";"02-03-2015";"Mai       2015";"4 mois";"Stage";"23601";"";""
"Non lu";"Stage en développement logiciel d’applications (Mobile, TV)";"Stingray";"07-03-2015";"Mai       2015";"4 mois";"Stage";"23043";"";""
